Flow ID,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Total,Packet Count,Current Packet Length,Flow IAT Min,Flow IAT Max,Flow IAT Mean,Flow Duration,Label
162.159.136.234 10.0.2.16 443 55060 6,40,1480,963.375,7707,8,40,50000.0,14371000.0,2451000.0,17157000.0,Discord
10.0.2.16 162.159.136.234 55060 443 6,40,171,65.875,527,8,116,98000.0,13868000.0,2400285.714285715,16802000.0,Discord
10.0.2.16 162.159.128.233 56898 443 6,40,1500,473.75,3790,8,899,53000.0,3463324000.0,570263571.4285715,3991845000.0,Discord
162.159.128.233 10.0.2.16 443 56898 6,40,461,164.625,1317,8,40,79000.0,3463752000.0,570271571.4285715,3991901000.0,Discord
162.159.128.233 10.0.2.16 443 42516 6,40,1480,479.0,3832,8,302,74000.0,247063000.0,48254857.14285715,337784000.0,Discord
10.0.2.16 162.159.128.233 42516 443 6,40,1500,235.125,1881,8,40,53000.0,246764000.0,48252428.571428575,337767000.00000006,Discord
162.159.136.234 10.0.2.16 443 42776 6,40,283,129.75,1038,8,40,91701000.0,20304511000.0,5517849285.714285,38624945000.0,Discord
10.0.2.16 162.159.136.234 42776 443 6,40,82,45.25,362,8,82,91713000.0,20304528000.0,5510476285.714286,38573334000.0,Discord
162.159.128.233 10.0.2.16 443 43046 6,40,1480,494.125,3953,8,40,65000.0,838091000.0,182207142.85714287,1275450000.0000002,Discord
10.0.2.16 162.159.128.233 43046 443 6,40,1500,390.125,3121,8,108,41000.0,837465000.0,182153714.28571424,1275075999.9999998,Discord
162.159.136.234 10.0.2.16 443 57126 6,40,1480,963.375,7707,8,40,154000.0,37493000.0,5590857.142857142,39136000.0,Discord
10.0.2.16 162.159.136.234 57126 443 6,40,171,65.875,527,8,116,173000.0,37157000.0,5544000.0,38808000.0,Discord
162.159.130.234 10.0.2.16 443 44376 6,40,1480,963.5,7708,8,40,97000.0,22073000.0,3521857.142857143,24653000.0,Discord
10.0.2.16 162.159.130.234 44376 443 6,40,171,65.875,527,8,116,38000.0,21419000.0,3448000.0,24136000.0,Discord
10.0.2.16 162.159.134.234 56790 443 6,40,82,50.5,404,8,82,135001000.0,12374525000.0,5893912142.857142,41257385000.0,Discord
162.159.134.234 10.0.2.16 443 56790 6,40,303,110.75,886,8,40,94407000.0,12430518000.0,5893920428.571427,41257442999.99999,Discord
10.0.2.16 162.159.137.232 42416 443 6,40,952,407.0,3256,8,40,82534000.0,9324195000.0,2228359142.857143,15598513999.999998,Discord
162.159.137.232 10.0.2.16 443 42416 6,40,486,218.25,1746,8,350,81637000.0,9324682000.0,2228288714.285714,15598021000.0,Discord
162.159.135.234 10.0.2.16 443 38876 6,40,1480,962.875,7703,8,40,264000.0,18937000.0,3201000.0,22407000.0,Discord
10.0.2.16 162.159.135.234 38876 443 6,40,171,65.875,527,8,116,229000.0,18539000.0,3130571.428571428,21914000.0,Discord
